油嘴,油压,日产液量,日产油量,日产气量
3,13.44,49.7,22.7,1887
3,13.43,49.5,22.5,1915
3,13.29,49.3,22.6,1897
3,13.45,49.1,22.2,1895
3,13.45,49.4,22.5,1911
3,13.43,49.5,22.3,1913
3,13.37,49.3,22.4,1919
3,13.46,49.1,22.2,1914
3,13.42,49.4,22.3,1928
3,13.46,49.1,22.1,1922
3,13.22,49.3,22.4,1921
3,13.15,49.5,22.6,1907
3,13.13,49,22.2,1864
3,13.04,49.3,22.5,1847
3,13,49.9,22.7,1859
3,12.94,49.6,22.4,1853
3,12.86,49.4,22.2,1843
3,12.85,49.5,22.5,1829
3,12.78,49.2,22.1,1797
3,12.74,49.4,22.2,1743
3,12.7,49.1,22,1666
3,12.62,49.3,22.1,1638
3,12.58,49,21.8,1636
3,12.52,49.1,21.9,1611
3,12.49,49.4,21.9,1600
3,12.49,49.4,21.7,1603
3,12.39,49.3,22,1606
3,12.36,49.3,21.8,1599
3,12.3,49.2,21.9,1589
3,12.3,49.1,21.8,1593
3,12.22,48.9,21.6,1589
3,12.23,49,21.5,1583
3,12.13,48.7,21.5,1553
3,12.14,48.9,21.6,1562
3,12.07,49,21.9,1556
3,12.04,48.9,22,1550
3,12.03,48.8,21.9,1524
3,11.99,48.6,22,1513
3,11.93,48,21.9,1507
3,11.88,47.6,21.8,1495
3,11.9,47.5,21.9,1481
3,11.85,47.7,22.2,1491
3,11.77,47.7,22.4,1492
3,11.8,47,22,1490
3,11.75,47.4,22.4,1500
3,11.72,47,22.4,1474
3,11.68,46.9,22.5,1477
3,11.66,46.9,22.7,1473
3,11.65,46.2,22.3,1465
3,11.62,46.6,22.6,1465
3,11.58,46.7,22.8,1465
3,11.52,46.3,22.5,1449
3,11.49,46.5,22.8,1452
3,11.45,46.2,22.8,1439
3,11.49,46.4,22.9,1424
3,11.42,46,22.8,1429
3,11.39,46.1,22.9,1429
3,11.35,45.9,22.8,1433
3,11.31,45.7,22.7,1425
3,11.31,45.2,22.4,1427
3,11.27,45.3,22.7,1432
3,11.22,45.2,22.6,1415
3,11.2,44.9,22.5,1401
3,11.16,45.1,22.6,1395
3,11.1,45,22.6,1389
3,11.13,44.7,22.5,1400
3,11.11,45,22.7,1406
3,11.07,44.2,22.4,1408
3,11.07,44.1,22.5,1396
3,11.01,42.9,22,1390
3,11.01,43.3,22.1,1389
3,10.95,43.4,22.3,1388
3,10.92,43.8,22.5,1404
3,10.91,43.6,22.4,1367
3,10.81,43.3,22.2,1368
3,10.79,42.9,22,1374
3,10.77,43.3,22.2,1371
3,10.84,43.4,22.3,1398
3,10.84,43,22.1,1413
3,10.58,42.9,22,1339
3,10.61,42.5,21.8,1349
3,10.55,42.7,21.9,1349
3,10.56,42.1,21.7,1349
3,10.5,42.3,21.8,1353
3,10.54,41.7,21.3,1346
3,10.64,41.1,21,1336
3,10.63,41.5,21.2,1350
3,10.46,41.2,21,1356
3,10.54,41.3,21.1,1296
3,10.58,41.7,21.3,1323
3,10.55,41.3,21.1,1328
3,10.52,41.2,21,1331
3,10.64,41.5,21.2,1332
3,10.63,41.7,21.3,1352
3,10.5,31.2,15.8,1094
3,10.69,25.9,13,949
2.5,10.88,27,13.5,878
2.5,10.78,29.8,15,979
2.5,10.76,29.3,14.8,96
2.5,10.76,30.4,15.3,513
2.5,10.79,29.7,15,947
2.5,10.68,29.8,15.1,953
2.5,10.74,30,15.2,938
2.5,10.62,29.7,15.1,939
2.5,10.64,30,15.3,926
2.5,10.64,29.4,15,904
2.5,10.66,30.2,15.5,918
2.5,10.72,30,15.4,910
2.5,10.73,29.7,15.2,430
2.5,10.73,29.9,15.4,504
2.5,10.71,29.6,15.3,917
2.5,10.78,29.7,15.3,897
2.5,10.72,30,15.3,887
2.5,10.83,29.9,15.1,927.4
2.5,10.83,30,15.2,975.9428571
2.5,10.81,30,15.3,1024.485714
2.5,10.81,30.1,15.3,1073.028571
2.5,10.8,29.9,15.3,1121.571429
2.5,10.78,29.8,15.3,1170.114286
2.5,10.74,29.8,15.3,1218.657143
2.5,10.73,29.8,15.3,999
2.5,10.73,29.6,15.3,1001
2.5,10.72,29.5,15.3,980
2.5,10.72,29.4,15.2,976
2.5,10.81,29.1,15.1,954
2.5,10.77,28.6,14.8,1009
2.5,10.79,28.7,14.9,971
2.5,10.79,28.6,14.8,995
2.5,10.84,28.7,14.9,946
2.5,10.79,28.5,14.8,934
2.5,10.83,28.6,14.4,924
2.5,10.83,28.5,14.3,925
2.5,10.83,28.3,14.2,896
2.5,10.83,28.1,14.3,928
2.5,10.8,28.3,14.7,928
2.5,10.81,28.1,14.6,929.5
2.5,10.8,28,14.5,922
2.5,10.81,27.5,14.4,899
2.5,10.78,27,13.7,882
2.5,10.75,26.9,14.2,889
2.5,10.78,26.8,14.2,887
2.5,10.82,26.7,14.1,881
2.5,10.85,26.8,14.2,887
2.5,10.86,26.9,14.2,889
2.5,10.86,26.7,14.4,895
2.5,10.86,26.9,13.8,875
2.5,10.83,26.7,14,875
2.5,10.83,26.7,14.2,878
2.5,10.81,26.6,14.2,879
2.5,10.84,26.5,14.1,902
2.5,10.81,26.5,14.1,916
2.5,10.77,26.6,14.2,868
2.5,10.77,26.6,14.2,882
2.5,10.77,26.5,14.3,881
2.5,10.77,26.6,14.3,901
2.5,10.77,26.7,14.5,899
2.5,10.76,26.6,14.5,884
2.5,10.77,26.7,14.5,889
2.5,10.77,26.4,14.4,890
2.5,10.76,26.5,14.4,886
2.5,10.76,26.2,14.3,891
2.5,10.72,26.3,14.4,868
2.5,10.68,26.3,14.4,766
2.5,10.83,26,14.3,736
2.5,10.83,25.8,14.2,937
2.5,10.75,26.2,14.4,922
2.5,10.73,26,14.3,929
2.5,10.61,26,14.1,913
2.5,10.63,26.1,14.2,894
2.5,10.6,25.8,14,876
2.5,10.61,25.7,14,887
2.5,10.61,25.6,13.9,866
2.5,10.58,25.5,13.9,864
2.5,10.58,25.6,13.9,841
2.5,10.61,25.5,13.9,704
2.5,10.56,25.4,13.8,743
2.5,10.59,25.2,13.7,860
2.5,10.58,25.2,13.7,829
2.5,10.49,25.1,13.6,876
2.5,10.55,25.2,13.6,860
2.5,10.55,25,13.5,903
2.5,10.43,24.8,13.3,900.7
2.5,10.5,24.6,13.2,884
2.5,10.44,24.6,13,868
2.5,10.45,24.8,13.1,849
2.5,10.38,24.4,12.9,856
2.5,10.42,24.6,13,854
2.5,10.39,25,13.2,714
2.5,10.36,24.8,13.1,819
2.5,10.43,24.7,13,843
2.5,10.42,24.8,13.1,858
2.5,10.41,24.4,12.9,850
2.5,10.34,24.2,12.8,847
2.5,10.26,24.2,12.8,855
2.5,10.3,24.1,12.7,850
2.5,10.3,23.8,12.6,827
2.5,10.31,23.6,12.5,831
2.5,10.26,24,12.7,826
2.5,10.56,24.4,12.9,824
2.5,10.22,24.2,12.8,731
2.5,10.21,23.9,12.6,748.1
2.5,10.24,23.6,12.5,857
2.5,10.24,23.3,12.3,855
2.5,10.2,23,12.1,843
2.5,10.24,22.5,11.9,852
2.5,10.21,22.5,11.9,842
2.5,10.21,23.1,12.2,844.6666667
2.5,10.21,22.9,12.1,839
2.5,10.25,22.9,12.1,842
2.5,10.15,23.1,12.2,844
2.5,10.17,23.3,12.3,812
2.5,10.14,23.1,12.2,840
2.5,10.21,23.5,12.3,833
2.5,10.2,23.9,12.5,836
2.5,10.2,23.8,12.4,829
2.5,10.2,23.9,12.5,761
2.5,10.16,24,12.6,901
2.5,10.16,24,12.6,850
2.5,10.1,24.4,12.8,839
