油嘴,油压,日产液量,日产油量,日产气量
4,29.5,100.2,87.8,7028
4,29.33,100.7,88.8,7054
4,29.3,100.1,88,7074
4,29.3,99.1,87,7055
4,29.05,100.6,88.6,7082
4,28.97,99.8,87.8,7094
4,28.83,101,88.5,7089
4,28.79,100.3,87.9,6978
4,28.79,99.9,87.8,6903
4,28.85,100.8,88.3,6964
3.5,29.12,84,71.3,5592
3.5,29.3,82.1,68.8,5481
3.5,29.4,83.4,70.8,5492
3.5,29.4,81.2,69,5573
3.5,29.47,80.8,68.5,5564
3.5,29.5,82.4,70.2,5661
3.5,29.5,81.1,69.1,5638
3.5,29.56,83.1,70.8,5660
3.5,29.54,81.2,68.9,5710
3.5,29.55,82.3,70.1,5707
3.5,29.55,81.3,69.2,5712
3.5,29.55,82.8,70.3,5675
3.5,29.57,81.2,69.1,5776
3.5,29.57,82.2,69.9,5749
3.5,29.57,81.3,69.1,5774
3.5,29.6,82.5,70.2,5759
3.5,29.46,81.7,69.6,5680
3.5,29.5,82.3,69.8,5737
3.5,29.5,81.2,69.2,5777
3.5,29.5,82.2,69.8,5772
3.5,29.4,81.5,69.2,5734
3.5,29.3,82.2,69.9,5752
3.5,29.35,81.2,69.1,5760
3.5,29.3,82.4,69.8,5709
3.5,29.21,81.4,69.1,5759
3.5,29.2,82.1,69.7,5717
3.5,29.25,81.1,68.9,5706
3.5,29.25,82.1,69.8,5745
3.5,29.1,81.9,69.4,5706
3.5,29.1,82.4,69.7,5760
3.5,29.1,81.5,69.5,5699
3.5,29.3,82.4,70,5755
3.5,29.2,78.2,65.6,5669
3.5,28.97,79.3,66.7,5692
3.5,28.91,78.3,66,5697
3.5,28.86,79,66.3,3000
3.5,28.75,78.4,65.9,5668
3.5,28.75,79.3,66.5,5641
3.5,28.75,78.7,66,5669
3.5,28.75,79.5,66.6,5687
3.5,28.61,78.2,65.7,5657
3.5,28.61,79.4,66.9,5672
3.5,28.61,78.5,65.8,5637
3.5,28.61,79.7,66.9,5637
3.5,28.45,78.6,65.9,5616
3.5,28.45,79.3,66.6,5559
3.5,28.45,77.2,65,5612
3.5,28.4,76,61.4,5609
3.5,28.36,77.4,62.5,5572
3.5,28.35,76.8,62.3,5600
3.5,28.35,77.4,62.6,5528
3.5,28.35,77.4,65.4,5576
3.5,28.35,76.9,65,5553
3.5,28.1,77.2,65.1,5558
3.5,28,76.7,64.6,5508
3.5,28.37,77.2,64.9,5561
3.5,27.94,76.5,64.5,5541
3.5,27.94,77.4,65,5523
3.5,27.94,76.7,64.8,5497
3.5,27.77,77.2,64.9,5474
3.5,27.77,76.4,64.3,5524
3.5,27.77,77.2,65.4,5522
3.5,27.66,76.6,64.5,5532
3.5,27.66,77.1,65.1,5450
3.5,27.6,76.8,65,5523
3.5,27.5,77.5,65.2,5444
3.5,27.5,76.3,64.4,5478
3.5,27.41,77.5,65.5,5504
3.5,27.42,76.7,64.4,5486
3.5,27.41,77.3,65.3,5488
3.5,27.41,76.5,64.7,5461
3.5,27.41,77.1,64.8,5470
3.5,27.41,76.8,64.6,5400
3.5,27.41,77.3,65.4,5455
3.5,27.41,76.1,64,5432
3.5,27.41,78,65.8,5351
3.5,27.41,76.5,64.6,5377
3.5,27.41,77,64.7,5317
3.5,27.05,76.3,64.4,5362
3.5,27.05,77.1,65.2,5306
3.5,26.89,76.5,64.7,5348
3.5,26.89,77.4,65.3,5336
3.5,26.89,76.6,64.9,5330
3.5,26.89,77.2,65.4,5332
3.5,26.89,76.2,64.3,5321
3.5,26.89,77.5,65.5,5346
3.5,26.68,76.7,64.7,5343
3.5,26.68,75.5,63.9,5336
3.5,26.68,74.5,62.6,5318
3.5,26.65,74.9,63.1,5332
3.5,26.65,74.7,62.8,5278
3.5,26.65,75.2,63.3,5278
3.5,26.43,74.6,62.6,5204
3.5,26.45,75,63.3,5318
3.5,26.45,74.6,62.7,5252
3.5,26.28,74.7,63.1,5359
3.5,26.19,74.4,62.7,5259
3.5,26.42,75,63.5,5317
3.5,26.4,74.3,62.6,5240
3.5,26.4,75,63.3,5255
3.5,26.09,74.3,62.8,5213
3.5,26.04,75.2,63.6,5277
3.5,26.01,74.5,62.7,5172
3.5,26.01,75.2,63.4,5199
3.5,25.89,74.2,62.6,5226
3.5,25.87,75.4,63.8,5137
3.5,25.8,73.4,62,5204
3.5,25.8,74.7,63.1,5155
3.5,25.73,73.4,62.2,5142
3.5,25.7,72.5,61.3,5152
3,26.17,52.2,42.8,4032
3,25.6,51.2,42,3796
3,26.6,52.6,43,3727
3,26.6,51.9,42.6,3897
3,26.7,52.6,43.3,3952
3,26.82,51.8,42.4,3918
3,26.87,52.6,43,3970
3,26.95,51.3,42,3976
3,26.95,52.4,42.9,3990
3,27.2,51.8,42.4,4007
3,27.35,52.8,43,3976
3,27.35,51.8,42.3,4091
3,27.4,52.8,43.1,4053
3,27.33,51.7,42.2,4050
3,27.63,52.3,42.8,4057
3,27.4,51.8,42.3,4056
3,27.4,52.2,42.7,4073
3,27.3,51.6,42,4099
3,27.49,52.2,42.5,4095
3,27.47,51.9,42.4,4135
3,27.47,52.8,43,4131
3,27.5,51.2,41.8,4134
3,27.54,52.1,42.7,4110
3,27.54,51.4,42,4116
3,27.55,52.1,42.7,4134
3,27.52,51.6,42.3,4128
3,27.47,52.5,43,4163
3,27.47,51.4,42,4432
3,27.47,52.8,43,3822
3,27.47,51.2,42,4204
3,27.53,52.3,42.9,4146
3,27.53,51.9,42.4,4146
3,27.53,52.2,42.8,4195
3,27.53,51.8,42.4,4216
3,27.47,52.2,42.7,4200
3,27.45,51.2,41.9,4202
3,27.44,52.2,42.6,4189
3,27.44,51.5,42.1,4194
3,27.49,52,42.5,4200
3,27.45,51.8,42.3,4169
3,27.41,52.3,42.6,4210
3,27.37,51.2,41.9,4137
3,27.43,52.1,42.5,4128
3,27.41,51.2,41.9,4145
3,27.41,52.7,43.2,4138
3,27.33,52.2,42.7,4114
3,27.34,51.4,42,4096
3,27.34,52.7,43.1,4123
3,27.27,51.9,42.4,4098
3,27.26,52.1,42.5,4111
3,27.29,51.8,42.3,4056
3,27.29,52.2,42.6,4112
3,27.29,51.8,42.2,4113
3,27.17,52.3,42.7,4094
3,27.17,51.9,42.3,4130
3,27.17,52.3,42.7,4055
3,27.17,51.4,41.9,4085
3,27.17,52,42.5,4130
3,27.1,51.9,42.3,4069
3,27.2,52.3,42.8,4064
3,27.2,51.9,42.3,4065
3,27.01,52.4,42.7,4059
3,27.02,51.2,41.9,4014
3,27.01,52.1,42.6,4036
3,27.01,51.8,42.2,4063
3,27.01,52,42.4,4033
3,26.93,51.9,42.3,4033
3,26.9,52.5,42.7,4015
3,26.9,51.5,42,4011
3,26.9,52.2,42.6,4021
3,26.91,51.6,42.2,4005
3,26.95,52.8,43,4026
3,26.84,51.9,42.3,4006
3,26.85,52.3,42.5,4218
3,26.85,51.8,42.4,4218
3,26.85,52.9,43.3,4329
3,26.7,51.8,42.2,4368
3,26.77,52.6,43,4309
3,26.77,51.8,42.3,4329
3,26.8,52.5,42.8,4329
3,26.8,51.9,42.5,4336
3,26.7,52.3,42.8,4316
3,26.7,51.9,42.3,4324
3,26.52,52.8,43.1,4304
3,26.51,51.2,41.6,4336
3,26.51,52.4,42.8,4286
3,26.51,51.9,42.4,4307
3,26.5,52.1,42.6,4321
