油压,套压,日产液量,日产油量,日产气量
0.3,0.3,8,5.3,
0.29,0.3,8,5.3,
0.26,0.26,8,5.3,
0.26,0.26,8,5.3,
0.26,0.26,7.8,5.4,
0.26,0.26,7.8,5.4,
0.26,0.26,7.8,5.4,
0.1,0.1,4.8,3.4,
0.1,0.1,4.8,3.5,
0.1,0.1,4.8,3.4,
0.1,0.1,4.8,3.5,
0.1,0.1,4.9,3.5,
0.1,0.1,4.9,3.6,
0.1,0.1,4.9,3.5,
0.1,0.1,4.8,3.4,
0.1,0.1,4.8,3.5,
0.1,0.1,4.8,3.5,
0.1,0.1,4.8,3.5,
0.1,0.1,4.8,3.5,
0.1,0.1,4.8,3.4,
0.1,0.1,4.8,3.3,
0.1,0.1,4.6,3.1,
0.08,0.08,5.6,3.8,
0.08,0.08,5.6,3.8,
0.08,0.08,5.6,3.8,
0.08,0.08,5.6,3.8,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.6,
0.05,0.05,5.6,3.6,
0.05,0.05,5.6,3.6,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.6,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.6,
0.02,0.02,2.4,1.6,
0.02,0.02,2.4,1.6,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.4,0.4,7,2,
0.4,0.4,5.5,2,
0.4,0.4,5.5,2.3,
0.4,0.4,5.5,2.6,
0.4,0.4,5.5,3,
0.4,0.4,5.5,3,
0.4,0.4,5.5,3,
0.4,0.4,5.5,3,
0.4,0.4,5.5,2.8,
0.4,0.4,5.5,3,
0.4,0.4,5.5,3,
0.4,0.4,5.5,3.1,
0.4,0.4,5.5,3.2,
0.4,0.4,5.5,3.2,
0.4,0.4,5.5,3,
0.4,0.4,5.5,3,
0.4,0.4,5.5,2.9,
0.4,0.4,5.5,3.1,
0.4,0.4,5.5,3,
0.4,0.4,5.5,3.1,
0.4,0.4,5.5,2.9,
0.4,0.4,5.5,3,
0.4,0.4,5.5,2.9,
0.4,0.4,5.5,2.8,
0.4,0.4,5.5,2.9,
0.4,0.4,5.5,2.9,
0.4,0.4,5.5,2.9,
0.02,0.02,5.5,2.9,
0.02,0.02,5.5,2.8,
0.02,0.02,5.5,2.8,
0.02,0.02,5.5,2.8,
0.02,0.02,5.5,2.9,
0.02,0.02,5.5,2.9,
